OBJECTID,STATUS,AP_NAME,AP_NUMBER,MAP_NUMBER,AP_FULL_NAME,ADOPTED_DATE,CROP_TYPE,NONR_DATE,ACTIVE,AMENDMENT_NO,SHAPESTArea,SHAPESTLength
8577,O,BLYTHE,23,758,"BLYTHE NO. 23 MAP NO. 758",1996-12-17T00:00:00.000Z," ",,Y," ",6956566.28808594,10550.2906263117
8578,O,BLYTHE,21,756,"BLYTHE NO. 21 MAP NO. 756",1996-12-17T00:00:00.000Z," ",,Y," ",28961672.8222656,24050.9613901009
8579,O,BLYTHE,22,757,"BLYTHE NO. 22 MAP NO. 757",1996-12-17T00:00:00.000Z," ",,Y," ",6809239.62988281,10577.6588365298
8580,O,BLYTHE,28,763,"BLYTHE NO. 28 MAP NO. 763",1996-12-17T00:00:00.000Z," ",,Y," ",5340533.57421875,10732.9570736678
8582,O,"COACHELLA VALLEY",51,240,"COACHELLA VALLEY NO. 51 MAP NO. 240",1973-08-07T00:00:00.000Z," ",,Y," ",5149791.51855469,10561.202563573
8583,O,"COACHELLA VALLEY",26,159,"COACHELLA VALLEY NO. 26 MAP NO. 159",1972-01-18T00:00:00.000Z," ",,Y," ",10388865.3271484,14760.7498568184
8584,O,"COACHELLA VALLEY",67,315,"COACHELLA VALLEY NO. 67 MAP NO. 315",1974-11-26T00:00:00.000Z," ",,Y," ",4651875.31445312,9380.15262865265
8589,O,BLYTHE,8,576,"BLYTHE NO. 8 MAP NO. 576",1983-01-04T00:00:00.000Z," ",,Y," ",50441516.5664062,41485.0515675239
8591,O,"COACHELLA VALLEY",83,445,"COACHELLA VALLEY NO. 83 MAP NO. 445",1977-08-02T00:00:00.000Z," ",,Y," ",8681883.96386719,13182.7588104044
8592,O,"COACHELLA VALLEY",73,380,"COACHELLA VALLEY NO. 73 MAP NO. 380",1976-06-29T00:00:00.000Z," ",,Y," ",5827313.77929688,11333.1161767267
8593,O,ANZA,3,278,"ANZA NO. 3 MAP NO. 278",1974-01-15T00:00:00.000Z," ",,Y," ",6957623.65039062,10552.1675823163
8594,O,ANZA,2,92,"ANZA NO. 2 MAP NO. 92",1970-02-24T00:00:00.000Z," ",,Y," ",14045753.3173828,16491.0507051471
8595,O,"COACHELLA VALLEY",11,122,"COACHELLA VALLEY NO. 11 MAP NO. 122",1971-02-08T00:00:00.000Z," ",,Y," ",5399646.24609375,10731.5775401172
8596,O,"COACHELLA VALLEY",41,196,"COACHELLA VALLEY NO. 41 MAP NO. 196",1972-01-25T00:00:00.000Z," ",,Y," ",4062984.99414062,9031.05858656846
8600,O,"COACHELLA VALLEY",72,377,"COACHELLA VALLEY NO. 72 MAP NO. 377",1976-06-29T00:00:00.000Z," ",,N," ",10079535.8378906,18097.1197796387
8601,O,"COACHELLA VALLEY",74,382,"COACHELLA VALLEY NO. 74 MAP NO. 382",1976-06-29T00:00:00.000Z," ",,N," ",8404062.85644531,12998.0158614648
8602,O,"COACHELLA VALLEY",75,383,"COACHELLA VALLEY NO. 75 MAP NO. 383",1976-08-17T00:00:00.000Z," ",,N," ",12321814.2607422,18567.8831202114
8605,O,"COACHELLA VALLEY",42,201,"COACHELLA VALLEY NO. 42 MAP NO. 201",1972-02-01T00:00:00.000Z," ",,Y," ",8672874.45605469,15850.0149234697
8607,O,"COACHELLA VALLEY",14,127,"COACHELLA VALLEY NO. 14 MAP NO. 127",1971-02-08T00:00:00.000Z," ",,Y," ",5115184.72460938,9158.55465156663
8608,O,"COACHELLA VALLEY",19,135,"COACHELLA VALLEY NO. 19 MAP NO. 135",1971-02-16T00:00:00.000Z," ",,Y," ",6143062.16992188,9941.22106573912
8609,O,"COACHELLA VALLEY",44,204,"COACHELLA VALLEY NO. 44 MAP NO. 204",1972-02-01T00:00:00.000Z," ",,Y," ",8722688.34960938,15983.344254231
8610,O,"COACHELLA VALLEY",48,214,"COACHELLA VALLEY NO. 48 MAP NO. 214",1972-02-01T00:00:00.000Z," ",,Y," ",6070165.3828125,14534.9058210388
8611,O,"RANCHO CALIFORNIA",33,476,"RANCHO CALIFORNIA NO. 33 MAP NO. 476",1978-02-28T00:00:00.000Z," ",,Y," ",5250245.79492188,10251.8431405451
